方案类型,基础版,标准版,高级版
适用场景,日活50-80人,日活80-120人,日活120-150人
预计总用户数,150-250人,250-400人,400-600人
,,,,
【服务器配置】,,,
应用服务器,2核4GB 3M带宽,4核8GB 5M带宽,4核8GB 5M + 2核4GB备用
数据库,共用服务器,独立4核8GB 100GB SSD,独立8核16GB 200GB SSD
Redis缓存,共用服务器,独立2GB主从版,独立4GB集群版
MeiliSearch,不启用,共用服务器,独立2核4GB
负载均衡,不启用,不启用,启用SLB标准版
,,,,
【存储配置】,,,
数据库存储,40GB,100GB,200GB
对象存储OSS,20GB,50GB,100GB
备份存储,15GB,30GB,60GB
CDN流量/月,500GB,1.5TB,3TB
,,,,
【月度成本明细(元)】,,,
云服务器ECS,120,250,350
数据库RDS,0(共用),400,800
Redis缓存,0(共用),150,300
MeiliSearch,0,0(共用),200
对象存储+流量,50,120,250
CDN加速,120,360,720
负载均衡,0,0,100
备份存储,15,30,60
域名+SSL,10,10,15
监控告警,0,20,50
小计,315,1340,2845
预留缓冲(15%),47,201,427
月度总成本,362,1541,3272
,,,,
【年度成本(元)】,,,
年度总成本,4344,18492,39264
平均单用户年成本,21.7,55.8,78.2
,,,,
【性能指标】,,,
支持并发用户,50-80,80-120,120-150
API响应时间,<300ms,<200ms,<150ms
数据库查询,<100ms,<50ms,<30ms
可用性SLA,95%,99%,99.5%
数据备份频率,每天1次,每天2次,每6小时1次
,,,,
【适用阶段】,,,
推荐使用时期,启动期(前3个月),成长期(3-9个月),稳定期(9个月后)
扩展能力,可升级到标准版,可升级到高级版,可横向扩展集群
技术支持,社区支持,邮件支持,工单+电话支持
